Id,Jid,entity,label
0,Q1000,http://www.wikidata.org/entity/Q1000,Gabon
1,Q1000370,http://www.wikidata.org/entity/Q1000370,Pinales
2,Q100059354,http://www.wikidata.org/entity/Q100059354,Pietra
3,Q100149091,http://www.wikidata.org/entity/Q100149091,Archduchess
4,Q100151225,http://www.wikidata.org/entity/Q100151225,The Temptation
5,Q1001582,http://www.wikidata.org/entity/Q1001582,Batz-sur-Mer
6,Q100166013,http://www.wikidata.org/entity/Q100166013,Portrait de femme
7,Q1001980,http://www.wikidata.org/entity/Q1001980,Corsept
8,Q100268112,http://www.wikidata.org/entity/Q100268112,gilt paint
9,Q100268701,http://www.wikidata.org/entity/Q100268701,Das Kreuz
10,Q100268819,http://www.wikidata.org/entity/Q100268819,Danaë
11,Q100278707,http://www.wikidata.org/entity/Q100278707,Q100278707
12,Q100307653,http://www.wikidata.org/entity/Q100307653,Orc of Ebuda
13,Q1003461,http://www.wikidata.org/entity/Q1003461,bucranium
14,Q1003655,http://www.wikidata.org/entity/Q1003655,François Séverin Marceau
15,Q1004015,http://www.wikidata.org/entity/Q1004015,Pujaudran
16,Q1004224,http://www.wikidata.org/entity/Q1004224,Pomarez
17,Q1004401,http://www.wikidata.org/entity/Q1004401,Bride of Christ
18,Q1004544,http://www.wikidata.org/entity/Q1004544,Tayac
19,Q100496044,http://www.wikidata.org/entity/Q100496044,Drei Köpfe mit Schnecke
20,Q100496298,http://www.wikidata.org/entity/Q100496298,Adler
21,Q100496960,http://www.wikidata.org/entity/Q100496960,Schwarze Drachen und Blau
22,Q100528358,http://www.wikidata.org/entity/Q100528358,Bitte Leise
23,Q100528520,http://www.wikidata.org/entity/Q100528520,Main mystérieuse / Portrait de femme
24,Q100528757,http://www.wikidata.org/entity/Q100528757,Main mystérieuse
25,Q100528794,http://www.wikidata.org/entity/Q100528794,Portrait de femme
26,Q100531208,http://www.wikidata.org/entity/Q100531208,Tempelhof Altarpiece
27,Q100695032,http://www.wikidata.org/entity/Q100695032,Portrait of Fanny Charrin (1781-1854)
28,Q100708933,http://www.wikidata.org/entity/Q100708933,Martin Fabiani
29,Q100724897,http://www.wikidata.org/entity/Q100724897,Q100724897
30,Q100727544,http://www.wikidata.org/entity/Q100727544,"Sans titre, N° 133/R"
31,Q100729848,http://www.wikidata.org/entity/Q100729848,"Ferdinand-Philippe-Louis, Duke of Orleans"
32,Q1007303,http://www.wikidata.org/entity/Q1007303,Donzacq
33,Q100742086,http://www.wikidata.org/entity/Q100742086,Doubting Saint Thomas
34,Q100743149,http://www.wikidata.org/entity/Q100743149,Head of Christ
35,Q100743215,http://www.wikidata.org/entity/Q100743215,Jour doucement la nuit
36,Q100743315,http://www.wikidata.org/entity/Q100743315,Vega Pâl
37,Q100773886,http://www.wikidata.org/entity/Q100773886,Composition
38,Q100774081,http://www.wikidata.org/entity/Q100774081,Feigling (Dithyrambisch)
39,Q100774155,http://www.wikidata.org/entity/Q100774155,Komposition dithyrambisch
40,Q100774209,http://www.wikidata.org/entity/Q100774209,Poussin - Drachensteigen
41,Q100774274,http://www.wikidata.org/entity/Q100774274,Di nuovo arrivato
42,Q1007870,http://www.wikidata.org/entity/Q1007870,art gallery
43,Q100804008,http://www.wikidata.org/entity/Q100804008,Master of the Legend of Saint James
44,Q100804113,http://www.wikidata.org/entity/Q100804113,Résurrection miraculeuse des poulets rôtis
45,Q100805568,http://www.wikidata.org/entity/Q100805568,Longue ocre
46,Q100848990,http://www.wikidata.org/entity/Q100848990,Portrait of Marie-Renée Klaubert-Luft
47,Q100850876,http://www.wikidata.org/entity/Q100850876,"Triptyque de la Passion ""Hommage à Grünewald"""
48,Q100852253,http://www.wikidata.org/entity/Q100852253,Le Manège
49,Q100854876,http://www.wikidata.org/entity/Q100854876,Après la Cène
50,Q100859607,http://www.wikidata.org/entity/Q100859607,Composition abstraite - Rouge orange vert
51,Q100860307,http://www.wikidata.org/entity/Q100860307,Le Buisson Ardent
52,Q100860973,http://www.wikidata.org/entity/Q100860973,Stabilité
53,Q100870653,http://www.wikidata.org/entity/Q100870653,Ziggy
54,Q100870788,http://www.wikidata.org/entity/Q100870788,Die Küche I
55,Q100890373,http://www.wikidata.org/entity/Q100890373,Q100890373
56,Q100976693,http://www.wikidata.org/entity/Q100976693,Autoportrait en prison
57,Q100976881,http://www.wikidata.org/entity/Q100976881,Autoportrait
58,Q100989561,http://www.wikidata.org/entity/Q100989561,Georges Henri Guittet
59,Q100998017,http://www.wikidata.org/entity/Q100998017,Drapery Study for the Virgin
60,Q101012587,http://www.wikidata.org/entity/Q101012587,Scena in una camera da letto
61,Q101012795,http://www.wikidata.org/entity/Q101012795,Portrait of Albert Schweitzer
62,Q101012965,http://www.wikidata.org/entity/Q101012965,Portrait of Alfred Marzolff
63,Q101013249,http://www.wikidata.org/entity/Q101013249,Self-portrait
64,Q101013400,http://www.wikidata.org/entity/Q101013400,Portrait de Jacques Peirotes
65,Q101013779,http://www.wikidata.org/entity/Q101013779,Portrait of Hans Pfitzner
66,Q101016041,http://www.wikidata.org/entity/Q101016041,Pius VIII brought to the Basilica of Saint Peter in Rome
