entity	entityLabel
http://www.wikidata.org/entity/Q3305213	painting
http://www.wikidata.org/entity/Q3323788	reception piece
http://www.wikidata.org/entity/Q16905563	cycle of paintings
http://www.wikidata.org/entity/Q11801536	winged altarpiece
http://www.wikidata.org/entity/Q1278452	polyptych
http://www.wikidata.org/entity/Q5	human
http://www.wikidata.org/entity/Q860861	sculpture
http://www.wikidata.org/entity/Q248726	Venus figurine
http://www.wikidata.org/entity/Q2910675	unfinished creative work
http://www.wikidata.org/entity/Q18761202	watercolor painting
http://www.wikidata.org/entity/Q11060274	print
http://www.wikidata.org/entity/Q191529	wallpaper
http://www.wikidata.org/entity/Q575759	war memorial
http://www.wikidata.org/entity/Q2647254	study
http://www.wikidata.org/entity/Q46686	reredos
http://www.wikidata.org/entity/Q1784021	artwork copy
http://www.wikidata.org/entity/Q93184	drawing
http://www.wikidata.org/entity/Q179700	statue
http://www.wikidata.org/entity/Q17489156	sculpture capital
http://www.wikidata.org/entity/Q11832720	ledger stone
http://www.wikidata.org/entity/Q13578361	epitaph
http://www.wikidata.org/entity/Q1640824	inscription
http://www.wikidata.org/entity/Q48634	sarcophagus
http://www.wikidata.org/entity/Q1066288	figurine
http://www.wikidata.org/entity/Q22669139	fresco
http://www.wikidata.org/entity/Q18219090	woodcut print
http://www.wikidata.org/entity/Q17489160	Q17489160
http://www.wikidata.org/entity/Q2293362	group of sculptures
http://www.wikidata.org/entity/Q17152495	prime version
http://www.wikidata.org/entity/Q12043905	pastel
http://www.wikidata.org/entity/Q376693	herma
http://www.wikidata.org/entity/Q328092	cornice
http://www.wikidata.org/entity/Q335261	ornament
http://www.wikidata.org/entity/Q99516640	wall painting
http://www.wikidata.org/entity/Q4817	column
http://www.wikidata.org/entity/Q5647631	handscroll
http://www.wikidata.org/entity/Q220659	archaeological artifact
http://www.wikidata.org/entity/Q47107	bucket
http://www.wikidata.org/entity/Q15711026	altarpiece
http://www.wikidata.org/entity/Q960844	funerary urn
http://www.wikidata.org/entity/Q41207	coin
http://www.wikidata.org/entity/Q476078	aureus
http://www.wikidata.org/entity/Q821952	oil lamp
http://www.wikidata.org/entity/Q1449918	Tremissis
http://www.wikidata.org/entity/Q187776	denarius
http://www.wikidata.org/entity/Q397447	torc
http://www.wikidata.org/entity/Q1277842	panathenaic amphora
http://www.wikidata.org/entity/Q1478508	anklet
http://www.wikidata.org/entity/Q831869	oenochoe
http://www.wikidata.org/entity/Q173603	helmet
http://www.wikidata.org/entity/Q132041	key
http://www.wikidata.org/entity/Q324926	fibula
http://www.wikidata.org/entity/Q2529225	nummus
http://www.wikidata.org/entity/Q29541662	forged artwork
http://www.wikidata.org/entity/Q1083662	tetradrachm
http://www.wikidata.org/entity/Q79218	triptych
http://www.wikidata.org/entity/Q1411766	predella
http://www.wikidata.org/entity/Q18573970	group of paintings
http://www.wikidata.org/entity/Q101687	altar
http://www.wikidata.org/entity/Q475476	diptych
http://www.wikidata.org/entity/Q2100893	cup with stem
http://www.wikidata.org/entity/Q4821437	flacon
http://www.wikidata.org/entity/Q1432049	food mold
http://www.wikidata.org/entity/Q45089	dice
http://www.wikidata.org/entity/Q208041	sestertius
http://www.wikidata.org/entity/Q193893	capital
http://www.wikidata.org/entity/Q7724780	saucepan
http://www.wikidata.org/entity/Q740151	phalerae
http://www.wikidata.org/entity/Q4364339	plaque
http://www.wikidata.org/entity/Q8362	manuscript illumination
http://www.wikidata.org/entity/Q11082837	volute krater
http://www.wikidata.org/entity/Q738680	pottery of ancient Greece
http://www.wikidata.org/entity/Q1811150	lebes gamikos
http://www.wikidata.org/entity/Q29060497	buckle plate
http://www.wikidata.org/entity/Q1135567	buckle
http://www.wikidata.org/entity/Q6642845	recumbent effigy
http://www.wikidata.org/entity/Q241045	bust
http://www.wikidata.org/entity/Q5078274	sketch
http://www.wikidata.org/entity/Q282129	portrait miniature
http://www.wikidata.org/entity/Q11086567	fragment
http://www.wikidata.org/entity/Q81895	spoon
http://www.wikidata.org/entity/Q168456	earring
http://www.wikidata.org/entity/Q14562306	bas-relief
http://www.wikidata.org/entity/Q5784272	high relief
http://www.wikidata.org/entity/Q115488	medallion
http://www.wikidata.org/entity/Q2881522	Unguent Container
http://www.wikidata.org/entity/Q81727	cup
http://www.wikidata.org/entity/Q391414	architectural element
http://www.wikidata.org/entity/Q231455	solidus
http://www.wikidata.org/entity/Q29349307	form
http://www.wikidata.org/entity/Q64376595	appliqué
http://www.wikidata.org/entity/Q153988	bowl
http://www.wikidata.org/entity/Q1566584	hairpin
http://www.wikidata.org/entity/Q40089	brick
http://www.wikidata.org/entity/Q2488579	lid
http://www.wikidata.org/entity/Q894640	vial
http://www.wikidata.org/entity/Q66660200	Q66660200
http://www.wikidata.org/entity/Q46847	ring
http://www.wikidata.org/entity/Q23834	comb
http://www.wikidata.org/entity/Q178401	amphora
http://www.wikidata.org/entity/Q599170	antoninianus
http://www.wikidata.org/entity/Q921668	stater
http://www.wikidata.org/entity/Q1198478	nomisma
http://www.wikidata.org/entity/Q50030	watercolor
http://www.wikidata.org/entity/Q1964917	oil sketch
http://www.wikidata.org/entity/Q13464614	ceramic art
http://www.wikidata.org/entity/Q39397	axe
http://www.wikidata.org/entity/Q3888353	palstave
http://www.wikidata.org/entity/Q3007956	vat
http://www.wikidata.org/entity/Q13222088	pomegranate
http://www.wikidata.org/entity/Q99898226	wash painting
http://www.wikidata.org/entity/Q21281546	gouache painting
http://www.wikidata.org/entity/Q35958819	funerary plaque
http://www.wikidata.org/entity/Q1772	epitaph
http://www.wikidata.org/entity/Q3747281	Q3747281
http://www.wikidata.org/entity/Q17450342	envoi de Rome
http://www.wikidata.org/entity/Q18396864	aquatint print
http://www.wikidata.org/entity/Q215194	gargoyle
http://www.wikidata.org/entity/Q1402709	locket
http://www.wikidata.org/entity/Q2967773	reliquary chest
http://www.wikidata.org/entity/Q13360570	milliarium
http://www.wikidata.org/entity/Q1136095	skyphos
http://www.wikidata.org/entity/Q189299	necklace
http://www.wikidata.org/entity/Q219423	mural
http://www.wikidata.org/entity/Q163446	carpet
http://www.wikidata.org/entity/Q22075301	textile artwork
http://www.wikidata.org/entity/Q833823	beaker
http://www.wikidata.org/entity/Q56325988	Q56325988
http://www.wikidata.org/entity/Q11086465	neck amphora
http://www.wikidata.org/entity/Q3180027	belt buckle
http://www.wikidata.org/entity/Q15856664	antenna sword
http://www.wikidata.org/entity/Q191851	vase
http://www.wikidata.org/entity/Q21818579	liturgical object
http://www.wikidata.org/entity/Q1053956	bead
http://www.wikidata.org/entity/Q11083119	urn
http://www.wikidata.org/entity/Q2111434	pendant
http://www.wikidata.org/entity/Q11835431	engraving
http://www.wikidata.org/entity/Q161524	mask
http://www.wikidata.org/entity/Q848330	tondo
http://www.wikidata.org/entity/Q717954	aryballos
http://www.wikidata.org/entity/Q35197	mirror
http://www.wikidata.org/entity/Q3859830	modello
http://www.wikidata.org/entity/Q132397	pitcher
http://www.wikidata.org/entity/Q208120	caryatid
http://www.wikidata.org/entity/Q245117	relief sculpture
http://www.wikidata.org/entity/Q3391771	platter
http://www.wikidata.org/entity/Q2474386	spindle whorl
http://www.wikidata.org/entity/Q680343	armband
http://www.wikidata.org/entity/Q184296	tapestry
http://www.wikidata.org/entity/Q838948	work of art
http://www.wikidata.org/entity/Q187459	entablature
http://www.wikidata.org/entity/Q98929143	funerary stele
http://www.wikidata.org/entity/Q1941820	mold
http://www.wikidata.org/entity/Q162919	seal
http://www.wikidata.org/entity/Q571723	antefix
http://www.wikidata.org/entity/Q981009	fauteuil
http://www.wikidata.org/entity/Q673338	alabastron
http://www.wikidata.org/entity/Q19702902	votive altar
http://www.wikidata.org/entity/Q15072800	cemetery cross
http://www.wikidata.org/entity/Q18643231	Q18643231
http://www.wikidata.org/entity/Q296955	oil paint
http://www.wikidata.org/entity/Q1144689	folding screen
http://www.wikidata.org/entity/Q18218093	etching print
http://www.wikidata.org/entity/Q1562096	ironwork
http://www.wikidata.org/entity/Q15727816	painting series
http://www.wikidata.org/entity/Q10145	milestone
http://www.wikidata.org/entity/Q830004	bit
http://www.wikidata.org/entity/Q2100658	poignard
http://www.wikidata.org/entity/Q103896	compass
http://www.wikidata.org/entity/Q13422881	razor
http://www.wikidata.org/entity/Q932698	tabernacle tower
http://www.wikidata.org/entity/Q229765	zun
http://www.wikidata.org/entity/Q178743	stele
http://www.wikidata.org/entity/Q175112	pilaster
http://www.wikidata.org/entity/Q2188827	hanging scroll
http://www.wikidata.org/entity/Q1400612	art forgery
http://www.wikidata.org/entity/Q390383	pocket knife
http://www.wikidata.org/entity/Q834007	antlers
http://www.wikidata.org/entity/Q131559	shield
http://www.wikidata.org/entity/Q201664	bracelet
http://www.wikidata.org/entity/Q192504	tweezers
http://www.wikidata.org/entity/Q285386	ear pick
http://www.wikidata.org/entity/Q43436	pearl
http://www.wikidata.org/entity/Q1160695	pithos
http://www.wikidata.org/entity/Q174705	oil painting
http://www.wikidata.org/entity/Q579418	lekythos
http://www.wikidata.org/entity/Q2269280	Q2269280
http://www.wikidata.org/entity/Q588951	overdoor
http://www.wikidata.org/entity/Q268547	roof tile
http://www.wikidata.org/entity/Q573870	bi
http://www.wikidata.org/entity/Q17537576	creative work
http://www.wikidata.org/entity/Q755706	kantharos
http://www.wikidata.org/entity/Q1416517	cartoon
http://www.wikidata.org/entity/Q567620	anonymous work
http://www.wikidata.org/entity/Q22970505	painted crucifix
http://www.wikidata.org/entity/Q2978772	Keystone
http://www.wikidata.org/entity/Q642861	holy water font
http://www.wikidata.org/entity/Q446	wheel
http://www.wikidata.org/entity/Q203788	chariot
http://www.wikidata.org/entity/Q15078648	ancient drachma
http://www.wikidata.org/entity/Q722604	reliquary
http://www.wikidata.org/entity/Q20437094	installation artwork
http://www.wikidata.org/entity/Q751944	token coin
http://www.wikidata.org/entity/Q493509	chatelaine
http://www.wikidata.org/entity/Q721747	commemorative plaque
http://www.wikidata.org/entity/Q3399907	crock
http://www.wikidata.org/entity/Q4793450	armilla
http://www.wikidata.org/entity/Q1665351	intaglio
http://www.wikidata.org/entity/Q376895	as
http://www.wikidata.org/entity/Q17504947	tool handle
http://www.wikidata.org/entity/Q32489	knife
http://www.wikidata.org/entity/Q15020961	unguentarium
http://www.wikidata.org/entity/Q125191	photograph
http://www.wikidata.org/entity/Q131557	amulet
http://www.wikidata.org/entity/Q86683067	Q86683067
http://www.wikidata.org/entity/Q200266	handle
http://www.wikidata.org/entity/Q6851831	miliaresion
http://www.wikidata.org/entity/Q133067	mosaic
http://www.wikidata.org/entity/Q2294433	tholobate
http://www.wikidata.org/entity/Q28890616	group of casts
http://www.wikidata.org/entity/Q3918409	proposal
http://www.wikidata.org/entity/Q3093009	dais
http://www.wikidata.org/entity/Q28038924	Aureus RIC I Tiberius 29
http://www.wikidata.org/entity/Q15123870	lithograph
http://www.wikidata.org/entity/Q1320546	weight
http://www.wikidata.org/entity/Q55439	panel painting
http://www.wikidata.org/entity/Q1976598	pannel
http://www.wikidata.org/entity/Q3024324	desco da parto
http://www.wikidata.org/entity/Q12791	sword
http://www.wikidata.org/entity/Q4502142	visual artwork
http://www.wikidata.org/entity/Q80228	bottle
http://www.wikidata.org/entity/Q2517447	adze
http://www.wikidata.org/entity/Q61982673	left panel
http://www.wikidata.org/entity/Q321053	cenotaph
http://www.wikidata.org/entity/Q21550515	cross
http://www.wikidata.org/entity/Q244330	hinge
http://www.wikidata.org/entity/Q213096	seashell
http://www.wikidata.org/entity/Q1752223	cippus
http://www.wikidata.org/entity/Q1211272	signage
http://www.wikidata.org/entity/Q141830	pallet fork
http://www.wikidata.org/entity/Q107191336	Q107191336
http://www.wikidata.org/entity/Q631931	decorative art
http://www.wikidata.org/entity/Q2424752	product
http://www.wikidata.org/entity/Q483453	fountain
http://www.wikidata.org/entity/Q732286	askos
http://www.wikidata.org/entity/Q1468440	Gutti
http://www.wikidata.org/entity/Q217106	croquis
http://www.wikidata.org/entity/Q1473346	stained glass
http://www.wikidata.org/entity/Q1557709	guéridon
http://www.wikidata.org/entity/Q476968	krater
http://www.wikidata.org/entity/Q132137	icon
http://www.wikidata.org/entity/Q17489659	group of works
http://www.wikidata.org/entity/Q45926	annulus
http://www.wikidata.org/entity/Q838312	pin
http://www.wikidata.org/entity/Q2647209	stylus
http://www.wikidata.org/entity/Q131647	medallion
http://www.wikidata.org/entity/Q721086	shield boss
http://www.wikidata.org/entity/Q29527347	figure
http://www.wikidata.org/entity/Q61982747	right panel
http://www.wikidata.org/entity/Q127441	hyperpyron
http://www.wikidata.org/entity/Q1650313	situla
http://www.wikidata.org/entity/Q718	chess
http://www.wikidata.org/entity/Q1617884	olpe
http://www.wikidata.org/entity/Q79497835	funerary object
http://www.wikidata.org/entity/Q22669857	collage
http://www.wikidata.org/entity/Q351853	ivory carving
http://www.wikidata.org/entity/Q737406	golden hat
http://www.wikidata.org/entity/Q18887969	copper engraving print
http://www.wikidata.org/entity/Q19479037	sculpture series
http://www.wikidata.org/entity/Q57444907	Fugitive Love motive
http://www.wikidata.org/entity/Q3775122	washstand
http://www.wikidata.org/entity/Q208454	abacus
http://www.wikidata.org/entity/Q942612	nestorides
http://www.wikidata.org/entity/Q477146	amphoriskos
http://www.wikidata.org/entity/Q101401	bell
http://www.wikidata.org/entity/Q1352349	architectural model
http://www.wikidata.org/entity/Q180987	stupa
http://www.wikidata.org/entity/Q745783	hydria
http://www.wikidata.org/entity/Q142690	sewing needle
http://www.wikidata.org/entity/Q1109404	patera
http://www.wikidata.org/entity/Q2943859	military belt
http://www.wikidata.org/entity/Q134566	weighing scale
http://www.wikidata.org/entity/Q57216	plate
http://www.wikidata.org/entity/Q6498959	scale model
http://www.wikidata.org/entity/Q3449901	game piece
http://www.wikidata.org/entity/Q89898105	Glass bottle
http://www.wikidata.org/entity/Q88064643	bowl
http://www.wikidata.org/entity/Q29477178	spearhead
