Id,Jid
0,Q1000
1,Q1000370
2,Q100059354
3,Q100149091
4,Q100151225
5,Q1001582
6,Q100166013
7,Q1001980
8,Q100268112
9,Q100268701
10,Q100268819
11,Q100278707
12,Q100307653
13,Q1003461
14,Q1003655
15,Q1004015
16,Q1004224
17,Q1004401
18,Q1004544
19,Q100496044
20,Q100496298
21,Q100496960
22,Q100528358
23,Q100528520
24,Q100528757
25,Q100528794
26,Q100531208
27,Q100695032
28,Q100708933
29,Q100724897
30,Q100727544
31,Q100729848
32,Q1007303
33,Q100742086
34,Q100743149
35,Q100743215
36,Q100743315
37,Q100773886
38,Q100774081
39,Q100774155
40,Q100774209
41,Q100774274
42,Q1007870
43,Q100804008
44,Q100804113
45,Q100805568
46,Q100848990
47,Q100850876
48,Q100852253
49,Q100854876
50,Q100859607
51,Q100860307
52,Q100860973
53,Q100870653
54,Q100870788
55,Q100890373
56,Q100976693
57,Q100976881
58,Q100989561
59,Q100998017
60,Q101012587
61,Q101012795
62,Q101012965
63,Q101013249
64,Q101013400
65,Q101013779
66,Q101016041
67,Q1010268
68,Q101069471
69,Q101069482
70,Q101069507
71,Q101069518
72,Q101069527
73,Q101069554
74,Q101071933
75,Q101081
76,Q101094094
77,Q101094197
78,Q1011295
79,Q1011390
80,Q1011471
81,Q1011967
82,Q101244565
83,Q101244894
84,Q1012797
85,Q1013479
86,Q101401
87,Q101423425
88,Q10145
89,Q101481124
90,Q101493538
91,Q101494065
92,Q101499652
93,Q101538
94,Q101584120
95,Q1016
96,Q101609
97,Q101625
98,Q101687
99,Q1016909
100,Q101711
101,Q1018166
102,Q1018991
103,Q1019
104,Q101949
105,Q101983140
106,Q101986043
107,Q1020225
108,Q102036399
109,Q102036421
110,Q102036562
111,Q102059
112,Q102066
113,Q102083
114,Q1021184
115,Q102231
116,Q102254226
117,Q102272
118,Q10231
119,Q102422784
120,Q1025
121,Q102543223
122,Q1025688
123,Q10261
124,Q10268802
125,Q10271033
126,Q102728
127,Q1027402
128,Q1027719
129,Q1027977
130,Q1028
131,Q102813713
132,Q1028181
133,Q10282
134,Q10285
135,Q102851
136,Q102865
137,Q1028747
138,Q102884
139,Q10289
140,Q10289604
141,Q102911
142,Q1029143
143,Q1029257
144,Q10292830
145,Q1029378
146,Q10294
147,Q1029715
148,Q103011
149,Q10303058
150,Q103163
151,Q10316722
152,Q10316761
153,Q10317575
154,Q103179902
155,Q10319317
156,Q10321973
157,Q10322723
158,Q1032662
159,Q1032707
160,Q1032847
161,Q103305
162,Q1033064
163,Q10333407
164,Q1033512
165,Q1034140
166,Q1034198
167,Q103459
168,Q10349690
169,Q103515401
170,Q1037154
171,Q103766841
172,Q10387575
173,Q10387684
174,Q103896
175,Q103934
176,Q103936833
177,Q103960
178,Q103968
179,Q103975
180,Q10398273
181,Q103992
182,Q104002
183,Q104012
184,Q104042
185,Q1041
186,Q104161369
187,Q104173652
188,Q104173683
189,Q104173756
190,Q104197260
191,Q1041995
192,Q104212
193,Q104212721
194,Q104212759
195,Q1042154
196,Q104243382
197,Q104243397
198,Q104244403
199,Q1043197
200,Q10435
201,Q104350032
202,Q104352528
203,Q104352541
204,Q104352792
205,Q104354
206,Q104356040
207,Q104363
208,Q104369295
209,Q104369300
210,Q104369307
211,Q104369318
212,Q104369323
213,Q104369327
214,Q104369339
215,Q104369345
216,Q104369348
217,Q104369352
218,Q104369353
219,Q104370037
220,Q104370096
221,Q104370116
222,Q104370125
223,Q104370150
224,Q104370151
225,Q104370156
226,Q104370754
227,Q104370768
228,Q104370785
229,Q104370788
230,Q104370789
231,Q104370818
232,Q104370945
233,Q104370956
234,Q104370985
235,Q104371236
236,Q104371247
237,Q104371536
238,Q104371707
239,Q104371723
240,Q104372991
241,Q104373002
242,Q104373004
243,Q104373012
244,Q104373067
245,Q104373133
246,Q104373139
247,Q104373154
248,Q104373171
249,Q104373173
250,Q104373234
251,Q104373258
252,Q104373262
253,Q104373264
254,Q104373366
255,Q104373378
256,Q104373386
257,Q104373387
258,Q104373413
259,Q104373472
260,Q104373514
261,Q104373571
262,Q104373573
263,Q104373591
264,Q104373610
265,Q104373626
266,Q104373628
267,Q104373632
268,Q104373637
269,Q104373644
270,Q104373687
271,Q104373751
272,Q104377169
273,Q104377229
274,Q104377239
275,Q104377248
276,Q104377249
277,Q104377256
278,Q104377257
279,Q104377264
280,Q104377328
281,Q104377371
282,Q104377386
283,Q104377791
284,Q104377797
285,Q104377873
286,Q104377888
287,Q104378478
288,Q104378785
289,Q104381698
290,Q104381710
291,Q104381754
292,Q104383362
293,Q104387304
294,Q104387624
295,Q104387626
296,Q104387788
297,Q104412508
298,Q104413
299,Q104418620
300,Q104422931
301,Q104425
302,Q1044413
303,Q104454427
304,Q1044742
305,Q104475
306,Q10449135
307,Q104502852
308,Q104511813
309,Q1045182
310,Q104522491
311,Q104526
312,Q104529819
313,Q104536315
314,Q104536363
315,Q104536995
316,Q1045385
317,Q104555
318,Q104581448
319,Q104581613
320,Q104582203
321,Q104583523
322,Q1045848
323,Q104589935
324,Q104589975
325,Q104590190
326,Q104597967
327,Q104597998
328,Q104598036
329,Q104599332
330,Q104600801
331,Q104600837
332,Q104600926
333,Q104602357
334,Q104603214
335,Q104603227
336,Q104603326
337,Q104603339
338,Q104603351
339,Q104603412
340,Q104615069
341,Q104635218
342,Q104635236
343,Q104637756
344,Q104637799
345,Q104638799
346,Q104639838
347,Q104640981
348,Q104641096
349,Q104671352
350,Q104672329
351,Q104680
352,Q104694359
353,Q1047054
354,Q104727200
355,Q104727220
356,Q104727343
357,Q104729016
358,Q104729389
359,Q104729676
360,Q104729753
361,Q104730209
362,Q104730359
363,Q104731663
364,Q104731884
365,Q104732123
366,Q104733484
367,Q104733513
368,Q104733553
369,Q1047337
370,Q104737513
371,Q104737663
372,Q104737754
373,Q104740233
374,Q104759172
375,Q104759286
376,Q1047594
377,Q104759431
378,Q104759446
379,Q104760026
380,Q104763213
381,Q104763627
382,Q104763832
383,Q104763985
384,Q104767252
385,Q104767295
386,Q104771795
387,Q104771863
388,Q104785863
389,Q104785987
390,Q104786786
391,Q104786812
392,Q104786840
393,Q104787855
394,Q1047940
395,Q1048
396,Q104801632
397,Q1048023
398,Q104804671
399,Q104804711
400,Q104804723
401,Q104804865
402,Q104825471
403,Q104831948
404,Q1048333
405,Q104833337
406,Q10484
407,Q104842236
408,Q104842569
409,Q104846933
410,Q104847457
411,Q104848649
412,Q1048568
413,Q104863903
414,Q104870405
415,Q104870613
416,Q104871
417,Q104884
418,Q104891231
419,Q104891317
420,Q104892412
421,Q104911831
422,Q104919462
423,Q1049728
424,Q104978241
425,Q104978243
426,Q104978244
427,Q104978245
428,Q104978246
429,Q104978247
430,Q1049923
431,Q105001151
432,Q105001166
433,Q105001170
434,Q105010678
435,Q105027693
436,Q105027856
437,Q105027880
438,Q105027977
439,Q105028043
440,Q105028048
441,Q105028609
442,Q105037619
443,Q105045464
444,Q105045490
445,Q105068109
446,Q105069227
447,Q105069281
448,Q105069361
449,Q105069512
450,Q105094657
451,Q105099743
452,Q105104857
453,Q10510932
454,Q1051130
455,Q1051213
456,Q105129415
457,Q105130212
458,Q105132140
459,Q105160404
460,Q105162018
461,Q1051656
462,Q105173
463,Q105186
464,Q105190
465,Q1051928
466,Q1052
467,Q105221965
468,Q105222017
469,Q105222123
470,Q105222233
471,Q1052269
472,Q105261
473,Q105296760
474,Q105299949
475,Q105320
476,Q105322785
477,Q105324807
478,Q1053313
479,Q105346884
480,Q105346885
481,Q105346886
482,Q105346888
483,Q105346890
484,Q105346891
485,Q105346892
486,Q105346894
487,Q105346896
488,Q105346897
489,Q105346900
490,Q105346901
491,Q105346903
492,Q105346905
493,Q105346906
494,Q105346907
495,Q105346909
496,Q105346910
497,Q105346911
498,Q105346913
499,Q105346914
500,Q105346916
501,Q105346917
502,Q105346920
503,Q105346921
504,Q105346922
505,Q105346924
506,Q105346926
507,Q105346928
508,Q105346929
509,Q105346930
510,Q105346932
511,Q105346933
512,Q105346934
513,Q105346935
514,Q105346936
515,Q105346937
516,Q105346938
517,Q105346939
518,Q105346940
519,Q105346941
520,Q105346942
521,Q105346944
522,Q105346945
523,Q105346946
524,Q105346947
525,Q105346949
526,Q105346950
527,Q105346951
528,Q105346952
529,Q105346953
530,Q105346954
531,Q105346955
532,Q105346956
533,Q105346957
534,Q105346959
535,Q105346960
536,Q105346961
537,Q105346962
538,Q105346963
539,Q105346965
540,Q105346966
541,Q105346967
542,Q105346969
543,Q105346970
544,Q105346971
545,Q105346972
546,Q105346973
547,Q105346974
548,Q105346976
549,Q105346977
550,Q105346978
551,Q105346979
552,Q105346980
553,Q105346981
554,Q105346982
555,Q105346983
556,Q105346984
557,Q105346985
558,Q105346986
559,Q105346987
560,Q105346988
561,Q105346989
562,Q105346990
563,Q105346996
564,Q105347016
565,Q105356282
566,Q1053735
567,Q105376291
568,Q105376295
569,Q105376296
570,Q105376596
571,Q105377007
572,Q1053956
573,Q105395988
574,Q105396837
575,Q1054145
576,Q105430123
577,Q105430124
578,Q105430126
579,Q105430127
580,Q105430128
581,Q105434936
582,Q105435173
583,Q105444113
584,Q105444114
585,Q105444115
586,Q105444116
587,Q105444117
588,Q105444118
589,Q105444119
590,Q105444120
591,Q105444121
592,Q105444122
593,Q105444123
594,Q105444124
595,Q105444125
596,Q105444127
597,Q105444128
598,Q105444130
599,Q105444131
600,Q105444132
601,Q105444134
602,Q105444135
