relation,index
P1412,0
P6379,1
P186,2
P119,3
P361,4
P156,5
P195,6
P138,7
P69,8
P4969,9
P840,10
P1066,11
P410,12
P61,13
P1196,14
P737,15
P1433,16
P1830,17
P562,18
P1416,19
P1028,20
P123,21
P1889,22
P735,23
P1639,24
P547,25
P825,26
P88,27
P21,28
P166,29
P179,30
P131,31
P412,32
P366,33
P6275,34
P50,35
P20,36
P6606,37
P460,38
P1343,39
P527,40
P25,41
P2348,42
P941,43
P2634,44
P607,45
P40,46
P793,47
P407,48
P84,49
P466,50
P7984,51
P2682,52
P462,53
P155,54
P805,55
P859,56
P127,57
P921,58
P5008,59
P1071,60
P1299,61
P189,62
P1435,63
P149,64
P7763,65
P1038,66
P2936,67
P2354,68
P276,69
P31,70
P22,71
P1950,72
P176,73
P669,74
P9493,75
P135,76
P144,77
P734,78
P770,79
P19,80
P97,81
P106,82
P27,83
P5816,84
P39,85
P26,86
P170,87
P972,88
P1419,89
P495,90
P2408,91
P1303,92
P108,93
P7108,94
P140,95
P509,96
P180,97
P2079,98
P1877,99
P2681,100
P2596,101
P3373,102
P279,103
P608,104
P136,105
P17,106
P740,107
P6216,108
P910,109
P1441,110
