entity,label
http://www.wikidata.org/entity/Q1000,Gabon
http://www.wikidata.org/entity/Q1000370,Pinales
http://www.wikidata.org/entity/Q100059354,Pietra
http://www.wikidata.org/entity/Q100149091,Archduchess
http://www.wikidata.org/entity/Q100151225,The Temptation
http://www.wikidata.org/entity/Q1001582,Batz-sur-Mer
http://www.wikidata.org/entity/Q100166013,Portrait de femme
http://www.wikidata.org/entity/Q1001980,Corsept
http://www.wikidata.org/entity/Q100268112,gilt paint
http://www.wikidata.org/entity/Q100268701,Das Kreuz
http://www.wikidata.org/entity/Q100268819,Danaë
http://www.wikidata.org/entity/Q100278707,Q100278707
http://www.wikidata.org/entity/Q100307653,Orc of Ebuda
http://www.wikidata.org/entity/Q1003461,bucranium
http://www.wikidata.org/entity/Q1003655,François Séverin Marceau
http://www.wikidata.org/entity/Q1004015,Pujaudran
http://www.wikidata.org/entity/Q1004224,Pomarez
http://www.wikidata.org/entity/Q1004401,Bride of Christ
http://www.wikidata.org/entity/Q1004544,Tayac
http://www.wikidata.org/entity/Q100496044,Drei Köpfe mit Schnecke
http://www.wikidata.org/entity/Q100496298,Adler
http://www.wikidata.org/entity/Q100496960,Schwarze Drachen und Blau
http://www.wikidata.org/entity/Q100528358,Bitte Leise
http://www.wikidata.org/entity/Q100528520,Main mystérieuse / Portrait de femme
http://www.wikidata.org/entity/Q100528757,Main mystérieuse
http://www.wikidata.org/entity/Q100528794,Portrait de femme
http://www.wikidata.org/entity/Q100531208,Tempelhof Altarpiece
http://www.wikidata.org/entity/Q100695032,Portrait of Fanny Charrin (1781-1854)
http://www.wikidata.org/entity/Q100708933,Martin Fabiani
http://www.wikidata.org/entity/Q100724897,Q100724897
http://www.wikidata.org/entity/Q100727544,"Sans titre, N° 133/R"
http://www.wikidata.org/entity/Q100729848,"Ferdinand-Philippe-Louis, Duke of Orleans"
http://www.wikidata.org/entity/Q1007303,Donzacq
http://www.wikidata.org/entity/Q100742086,Doubting Saint Thomas
http://www.wikidata.org/entity/Q100743149,Head of Christ
http://www.wikidata.org/entity/Q100743215,Jour doucement la nuit
http://www.wikidata.org/entity/Q100743315,Vega Pâl
http://www.wikidata.org/entity/Q100773886,Composition
http://www.wikidata.org/entity/Q100774081,Feigling (Dithyrambisch)
http://www.wikidata.org/entity/Q100774155,Komposition dithyrambisch
http://www.wikidata.org/entity/Q100774209,Poussin - Drachensteigen
http://www.wikidata.org/entity/Q100774274,Di nuovo arrivato
http://www.wikidata.org/entity/Q1007870,art gallery
http://www.wikidata.org/entity/Q100804008,Master of the Legend of Saint James
http://www.wikidata.org/entity/Q100804113,Résurrection miraculeuse des poulets rôtis
http://www.wikidata.org/entity/Q100805568,Longue ocre
http://www.wikidata.org/entity/Q100848990,Portrait of Marie-Renée Klaubert-Luft
http://www.wikidata.org/entity/Q100850876,"Triptyque de la Passion ""Hommage à Grünewald"""
http://www.wikidata.org/entity/Q100852253,Le Manège
http://www.wikidata.org/entity/Q100854876,Après la Cène
http://www.wikidata.org/entity/Q100859607,Composition abstraite - Rouge orange vert
http://www.wikidata.org/entity/Q100860307,Le Buisson Ardent
http://www.wikidata.org/entity/Q100860973,Stabilité
http://www.wikidata.org/entity/Q100870653,Ziggy
http://www.wikidata.org/entity/Q100870788,Die Küche I
http://www.wikidata.org/entity/Q100890373,Q100890373
http://www.wikidata.org/entity/Q100976693,Autoportrait en prison
http://www.wikidata.org/entity/Q100976881,Autoportrait
http://www.wikidata.org/entity/Q100989561,Georges Henri Guittet
http://www.wikidata.org/entity/Q100998017,Drapery Study for the Virgin
http://www.wikidata.org/entity/Q101012587,Scena in una camera da letto
http://www.wikidata.org/entity/Q101012795,Portrait of Albert Schweitzer
http://www.wikidata.org/entity/Q101012965,Portrait of Alfred Marzolff
http://www.wikidata.org/entity/Q101013249,Self-portrait
http://www.wikidata.org/entity/Q101013400,Portrait de Jacques Peirotes
http://www.wikidata.org/entity/Q101013779,Portrait of Hans Pfitzner
http://www.wikidata.org/entity/Q101016041,Pius VIII brought to the Basilica of Saint Peter in Rome
http://www.wikidata.org/entity/Q1010268,Basilica of St. Sernin
http://www.wikidata.org/entity/Q101069471,Self-portrait
http://www.wikidata.org/entity/Q101069482,Self-portrait
http://www.wikidata.org/entity/Q101069507,Portrait de Monsieur Nesberschnee
http://www.wikidata.org/entity/Q101069518,François Schell
http://www.wikidata.org/entity/Q101069527,Armand Joseph Ingenbleek
http://www.wikidata.org/entity/Q101069554,Self-portrait
http://www.wikidata.org/entity/Q101071933,Q101071933
http://www.wikidata.org/entity/Q101081,Provence
http://www.wikidata.org/entity/Q101094094,Q101094094
http://www.wikidata.org/entity/Q101094197,Q101094197
http://www.wikidata.org/entity/Q1011295,Pléchâtel
http://www.wikidata.org/entity/Q1011390,Château de Clisson
http://www.wikidata.org/entity/Q1011471,Museum of Dieppe
http://www.wikidata.org/entity/Q1011967,Château du Girsberg
http://www.wikidata.org/entity/Q101244565,Three bohemians
http://www.wikidata.org/entity/Q101244894,Q101244894
http://www.wikidata.org/entity/Q1012797,Ostia
http://www.wikidata.org/entity/Q1013479,Plédéliac
http://www.wikidata.org/entity/Q101401,bell
http://www.wikidata.org/entity/Q101423425,Jean-Jacques Hueber
http://www.wikidata.org/entity/Q10145,milestone
http://www.wikidata.org/entity/Q101481124,Portrait of Johannes Rutgersius (1589-1625)
http://www.wikidata.org/entity/Q101493538,Portrait d'homme
http://www.wikidata.org/entity/Q101494065,La Terre (deux nus)
http://www.wikidata.org/entity/Q101499652,Q101499652
http://www.wikidata.org/entity/Q101538,Trifolium
http://www.wikidata.org/entity/Q101584120,Joseph Dreyfus
http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q101609,Twelve Olympians
http://www.wikidata.org/entity/Q101625,Marrakesh
http://www.wikidata.org/entity/Q101687,altar
http://www.wikidata.org/entity/Q1016909,Burrell Collection
http://www.wikidata.org/entity/Q101711,Convallaria majalis
http://www.wikidata.org/entity/Q1018166,Bouan
http://www.wikidata.org/entity/Q1018991,band
http://www.wikidata.org/entity/Q1019,Madagascar
http://www.wikidata.org/entity/Q101949,mantle
http://www.wikidata.org/entity/Q101983140,"Musée Saint-Raymond, 70 3 3"
http://www.wikidata.org/entity/Q101986043,"Musée Saint-Raymond, 26013"
http://www.wikidata.org/entity/Q1020225,Courbes
http://www.wikidata.org/entity/Q102036399,Q102036399
http://www.wikidata.org/entity/Q102036421,Pauline Virginie Ono-dit-Biot
http://www.wikidata.org/entity/Q102036562,Irma Clare
http://www.wikidata.org/entity/Q102059,Gorgons
http://www.wikidata.org/entity/Q102066,navigation
http://www.wikidata.org/entity/Q102083,knight
http://www.wikidata.org/entity/Q1021184,Poetic realism
http://www.wikidata.org/entity/Q102231,rose
http://www.wikidata.org/entity/Q102254226,Two girls in a wood
http://www.wikidata.org/entity/Q102272,Jan van Eyck
http://www.wikidata.org/entity/Q10231,Rivoli
http://www.wikidata.org/entity/Q102422784,Valentine Godè-Darel
http://www.wikidata.org/entity/Q1025,Mauritania
http://www.wikidata.org/entity/Q102543223,Q102543223
http://www.wikidata.org/entity/Q1025688,Café de la Nouvelle Athènes
http://www.wikidata.org/entity/Q10261,Pythagoras
http://www.wikidata.org/entity/Q10268802,illegal drug
http://www.wikidata.org/entity/Q10271033,Vétheuil Church
http://www.wikidata.org/entity/Q102728,Ypres
http://www.wikidata.org/entity/Q1027402,musée des Beaux-Arts de Bernay
http://www.wikidata.org/entity/Q1027719,rue Royale
http://www.wikidata.org/entity/Q1027977,camaieu technique
http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q102813713,Germain Piètre
http://www.wikidata.org/entity/Q1028181,painter
http://www.wikidata.org/entity/Q10282,Pamplona
http://www.wikidata.org/entity/Q10285,Colosseum
http://www.wikidata.org/entity/Q102851,Boethius
http://www.wikidata.org/entity/Q102865,Darius III
http://www.wikidata.org/entity/Q1028747,modius
http://www.wikidata.org/entity/Q102884,Mnemosyne
http://www.wikidata.org/entity/Q10289,barrel
http://www.wikidata.org/entity/Q10289604,Kiss of Judas
http://www.wikidata.org/entity/Q102911,Holland
http://www.wikidata.org/entity/Q1029143,Jacob Cornelisz van Oostsanen
http://www.wikidata.org/entity/Q1029257,Camille Roqueplan
http://www.wikidata.org/entity/Q10292830,"Salle des États, Louvre"
http://www.wikidata.org/entity/Q1029378,continence of Scipio
http://www.wikidata.org/entity/Q10294,poverty
http://www.wikidata.org/entity/Q1029715,adoration of the shepherds
http://www.wikidata.org/entity/Q103011,Corinth
http://www.wikidata.org/entity/Q10303058,intendance
http://www.wikidata.org/entity/Q103163,abbot
http://www.wikidata.org/entity/Q10316722,The Flood
http://www.wikidata.org/entity/Q10316761,Leander
http://www.wikidata.org/entity/Q10317575,Red Boats at Argenteuil
http://www.wikidata.org/entity/Q103179902,Jean de Rieux or Jean d'Albon
http://www.wikidata.org/entity/Q10319317,Livio Odescalchi
http://www.wikidata.org/entity/Q10321973,Léon Étienne Tournes
http://www.wikidata.org/entity/Q10322723,Macbeth
http://www.wikidata.org/entity/Q1032662,Canal du Loing
http://www.wikidata.org/entity/Q1032707,Canal de Garonne
http://www.wikidata.org/entity/Q1032847,Pieter van Mol
http://www.wikidata.org/entity/Q103305,Volterra
http://www.wikidata.org/entity/Q1033064,John James Chalon
http://www.wikidata.org/entity/Q10333407,Museum Baron Martin
http://www.wikidata.org/entity/Q1033512,Vincent Courdouan
http://www.wikidata.org/entity/Q1034140,Justus van Egmont
http://www.wikidata.org/entity/Q1034198,cape
http://www.wikidata.org/entity/Q103459,livestock
http://www.wikidata.org/entity/Q10349690,Peter van Boucle
http://www.wikidata.org/entity/Q103515401,Ariane abandonnée
http://www.wikidata.org/entity/Q1037154,Gillis Coignet
http://www.wikidata.org/entity/Q103766841,Pierre Schlumberger
http://www.wikidata.org/entity/Q10387575,monument historique inscrit
http://www.wikidata.org/entity/Q10387684,classified historical monument
http://www.wikidata.org/entity/Q103896,compass
http://www.wikidata.org/entity/Q103934,Everhard Jabach
http://www.wikidata.org/entity/Q103936833,Élise Gérold
http://www.wikidata.org/entity/Q103960,Semiramis
http://www.wikidata.org/entity/Q103968,Clio
http://www.wikidata.org/entity/Q103975,Calliope
http://www.wikidata.org/entity/Q10398273,St John's Eve
http://www.wikidata.org/entity/Q103992,Melpomene
http://www.wikidata.org/entity/Q104002,Urania
http://www.wikidata.org/entity/Q104012,Euterpe
http://www.wikidata.org/entity/Q104042,Terpsichore
http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q104161369,Q104161369
http://www.wikidata.org/entity/Q104173652,"Musée Saint-Raymond, Ra 50 bis"
http://www.wikidata.org/entity/Q104173683,"Musée Saint-Raymond, Ra 501"
http://www.wikidata.org/entity/Q104173756,paleochristian sarcophagus Ra 809 b
http://www.wikidata.org/entity/Q104197260,Marie-Adélaïde Duvieux
http://www.wikidata.org/entity/Q1041995,Carlo Carlone
http://www.wikidata.org/entity/Q104212,Humulus lupulus
http://www.wikidata.org/entity/Q104212721,A Portrait by Jean-Baptiste Regnault
http://www.wikidata.org/entity/Q104212759,Saint Francis Receiving the Stigmata
http://www.wikidata.org/entity/Q1042154,Carlo Francesco Maria Caselli
http://www.wikidata.org/entity/Q104243382,Q104243382
http://www.wikidata.org/entity/Q104243397,Q104243397
http://www.wikidata.org/entity/Q104244403,Saint Francis of Assisi in Ecstasy
http://www.wikidata.org/entity/Q1043197,divination
http://www.wikidata.org/entity/Q10435,Musca
http://www.wikidata.org/entity/Q104350032,Q104350032
http://www.wikidata.org/entity/Q104352528,Q104352528
http://www.wikidata.org/entity/Q104352541,Q104352541
http://www.wikidata.org/entity/Q104352792,Q104352792
http://www.wikidata.org/entity/Q104354,Bagrationovsk
http://www.wikidata.org/entity/Q104356040,Q104356040
http://www.wikidata.org/entity/Q104363,anvil
http://www.wikidata.org/entity/Q104369295,Edmé Bouchardon (1698–1762)
http://www.wikidata.org/entity/Q104369300,Q104369300
http://www.wikidata.org/entity/Q104369307,Portrait of Anna de Noailles (1876-1933)
http://www.wikidata.org/entity/Q104369318,Q104369318
http://www.wikidata.org/entity/Q104369323,Q104369323
http://www.wikidata.org/entity/Q104369327,Q104369327
http://www.wikidata.org/entity/Q104369339,Q104369339
http://www.wikidata.org/entity/Q104369345,"View of Paris with the Grand Gallery of the Louvre , the Tour de Bois and the Pont Neuf"
http://www.wikidata.org/entity/Q104369348,Q104369348
http://www.wikidata.org/entity/Q104369352,Q104369352
http://www.wikidata.org/entity/Q104369353,The latecomers
http://www.wikidata.org/entity/Q104370037,Q104370037
http://www.wikidata.org/entity/Q104370096,The Échevins of Paris Praying before St Geneviève
