Type URI,Type Label,Total Entities
http://www.wikidata.org/entity/Q3305213,painting,14491
http://www.wikidata.org/entity/Q3323788,reception piece,8
http://www.wikidata.org/entity/Q16905563,cycle of paintings,3
http://www.wikidata.org/entity/Q11801536,winged altarpiece,1
http://www.wikidata.org/entity/Q1278452,polyptych,14
http://www.wikidata.org/entity/Q5,human,7
http://www.wikidata.org/entity/Q860861,sculpture,1884
http://www.wikidata.org/entity/Q248726,Venus figurine,1
http://www.wikidata.org/entity/Q2910675,unfinished creative work,6
http://www.wikidata.org/entity/Q18761202,watercolor painting,36
http://www.wikidata.org/entity/Q11060274,print,17
http://www.wikidata.org/entity/Q191529,wallpaper,1
http://www.wikidata.org/entity/Q575759,war memorial,1
http://www.wikidata.org/entity/Q2647254,study,55
http://www.wikidata.org/entity/Q46686,reredos,32
http://www.wikidata.org/entity/Q1784021,artwork copy,17
http://www.wikidata.org/entity/Q93184,drawing,129
http://www.wikidata.org/entity/Q179700,statue,225
http://www.wikidata.org/entity/Q17489156,sculpture capital,79
http://www.wikidata.org/entity/Q11832720,ledger stone,13
http://www.wikidata.org/entity/Q13578361,epitaph,81
http://www.wikidata.org/entity/Q1640824,inscription,34
http://www.wikidata.org/entity/Q48634,sarcophagus,41
http://www.wikidata.org/entity/Q1066288,figurine,135
http://www.wikidata.org/entity/Q22669139,fresco,5
http://www.wikidata.org/entity/Q18219090,woodcut print,2
http://www.wikidata.org/entity/Q17489160,Q17489160,77
http://www.wikidata.org/entity/Q2293362,group of sculptures,29
http://www.wikidata.org/entity/Q17152495,prime version,6
http://www.wikidata.org/entity/Q12043905,pastel,35
http://www.wikidata.org/entity/Q376693,herma,5
http://www.wikidata.org/entity/Q328092,cornice,5
http://www.wikidata.org/entity/Q335261,ornament,16
http://www.wikidata.org/entity/Q99516640,wall painting,47
http://www.wikidata.org/entity/Q4817,column,11
http://www.wikidata.org/entity/Q5647631,handscroll,2
http://www.wikidata.org/entity/Q220659,archaeological artifact,1010
http://www.wikidata.org/entity/Q47107,bucket,2
